FILENAME;\Hard Disk2\Result\Lacto_600rpm_40C_O2control_BS20-pH-DO_15min_20190315_133013.csv
PROTOCOL;Lacto_600rpm_40C_O2control_BS20-pH-DO_15min
FILE_VERSION;3.3;
DATE START;2019-03-15;13:30:02
DATE END;2019-03-17;04:41:01;;Last Reading;157;Timestamp;309866                      
DEVICE;CX_0096A9B
USER;MFM-NT;COMMENT;no comment available
PLATETYPE;48Flowerplate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;3;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48full;1;20;1.00;100.00;100.00;;;SET TEMPERATURE [°C];40.00
 2;pH-hc;470;525;48full;3;30;30.00;40.00;0.00;;;SET HUMIDITY [rH];95.00
 3;pO2-hc;520;600;48full;4;64;30.00;40.00;0.00;;;SET O2 [%];0.00
;;;;;;;;;;;;SET CO2 [%];100.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];600.00
;;;;;;;;;;;;SET CYCLE TIME [min];15
;;;;;;;;;;;;SET EXP TIME [h];-218790464

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
K;;;;;0.00403;;;;;;;Open Cover, ;
R;;;;1;0.00421;50.06;0.0;30.80;40.23;14.97;0.00;test measure for referencing with gain 14 
C1;A01;X1;;1;0.00762;47.24;0.0;30.90;42.31;16.90;0.00; 
C1;A02;X2;;1;0.00846;38.66;0.0;31.00;42.59;17.19;0.00;
C1;A03;X3;;1;0.00930;38.25;0.0;31.10;42.88;17.35;0.00;
C1;A04;X4;;1;0.01015;36.29;0.0;31.20;43.21;17.43;0.00;
C1;A05;X5;;1;0.01101;32.06;0.0;31.30;43.67;17.52;0.00;
C1;A06;X6;;1;0.01186;28.69;0.0;31.40;44.05;17.45;0.00;
C1;A07;X7;;1;0.01272;10.13;0.0;31.50;44.19;17.43;0.00;
C1;A08;X8;;1;0.01358;8.88;0.0;31.60;44.38;17.33;0.00;
C1;B08;X16;;1;0.01442;8.86;0.0;31.70;44.52;17.21;0.00;
C1;B07;X15;;1;0.01522;7.99;0.0;31.90;44.75;17.01;0.00;
C1;B06;X14;;1;0.01603;30.20;0.0;32.00;44.84;16.91;0.00;
C1;B05;X13;;1;0.01681;33.25;0.0;32.00;44.91;16.70;0.00;
