[Settings]
Original Result File Name;rj-cg-res_20170927_084112.csv
Version;2.0
Project;
Protocol;rj-cg-res
Control File For Robot;C:\TECAN\Handshake
Log File;C:\ProgramData\RoboLector Agent\LAgent Settings\Logs\SimProtocol48_129483_Pipetting.csv
Max. Well Volume;2500
[Trigger Settings 1]
Trigger Index;0
IsManual;TrueTrigger Signal;Abs.Time [h]
Pipetting Mode;Dosing
Comparer;>
Repeat;1
Liquid Name;
Related Trigger;Trigger 1
Well;Setpoint;Volume
A01;0;800
A02;0;800
A03;0;800
A04;0;800
A05;0;800
A06;0;800
A07;0;800
A08;0;800
B01;0;800
B02;0;800
B03;0;800
B04;0;800
B05;0;800
B06;0;800
B07;0;800
B08;0;800
C01;0;800
C02;0;800
C03;0;800
C04;0;800
C05;0;800
C06;0;800
C07;0;800
C08;0;800
D01;0;800
D02;0;800
D03;0;800
D04;0;800
D05;0;800
D06;0;800
D07;0;800
D08;0;800
E01;0;800
E02;0;800
E03;0;800
E04;0;800
E05;0;800
E06;0;800
E07;0;800
E08;0;800
F01;0;800
F02;0;800
F03;0;800
F04;0;800
F05;0;800
F06;0;800
F07;0;800
F08;0;800
[Trigger Settings 2]
Trigger Index;1
IsManual;FalseTrigger Signal;Measurement Channel1
Pipetting Mode;Dosing
Comparer;>
Repeat;1
Liquid Name;
Related Trigger;NONE
Well;Setpoint;Volume
A01;60;10
A02;60;10
A03;60;10
A04;60;10
A05;60;10
A06;60;10
A07;60;10
A08;60;10
B01;60;10
B02;60;10
B03;60;10
B04;60;10
B05;60;10
B06;60;10
B07;60;10
B08;60;10
C01;60;10
C02;60;10
C03;60;10
C04;60;10
C05;60;10
C06;60;10
C07;60;10
C08;60;10
D01;60;10
D02;60;10
D03;60;10
D04;60;10
D05;60;10
D06;60;10
D07;60;10
D08;60;10
E01;60;10
E02;60;10
E03;60;10
E04;60;10
E05;60;10
E06;60;10
E07;60;10
E08;60;10
F01;60;10
F02;60;10
F03;60;10
F04;60;10
F05;60;10
F06;60;10
F07;60;10
F08;60;10
[Trigger Settings 3]
Trigger Index;2
IsManual;FalseTrigger Signal;Delta.Time [h]
Pipetting Mode;Dosing
Comparer;>
Repeat;7
Liquid Name;
Related Trigger;Trigger 2
Well;Setpoint;Volume
A01;2;22
A02;2;22
A03;2;22
A04;2;22
A05;2;22
A06;2;22
A07;2;22
A08;2;22
B01;2;22
B02;2;22
B03;2;22
B04;2;22
B05;2;22
B06;2;22
B07;2;22
B08;2;22
C01;2;22
C02;2;22
C03;2;22
C04;2;22
C05;2;22
C06;2;22
C07;2;22
C08;2;22
D01;2;22
D02;2;22
D03;2;22
D04;2;22
D05;2;22
D06;2;22
D07;2;22
D08;2;22
E01;2;22
E02;2;22
E03;2;22
E04;2;22
E05;2;22
E06;2;22
E07;2;22
E08;2;22
F01;2;22
F02;2;22
F03;2;22
F04;2;22
F05;2;22
F06;2;22
F07;2;22
F08;2;22
[Trigger Settings 4]
Trigger Index;3
IsManual;FalseTrigger Signal;Delta.Time [h]
Pipetting Mode;Dosing
Comparer;>
Repeat;7
Liquid Name;
Related Trigger;Trigger 2
Well;Setpoint;Volume
A01;2.01;10
A02;2.01;10
A03;2.01;10
