FILENAME;\Hard Disk2\Result\NT_1200rpm_30C_DO-GFP75-pH-BS10_12min_20171221_121339.csv
PROTOCOL;NT_1200rpm_30C_DO-GFP75-pH-BS10_12min
FILE_VERSION;3.3;
DATE START;2017-12-21;12:14:01
DATE END;2017-12-21;12:14:01;;Last Reading;1;Timestamp;6135631                        
DEVICE;BL012-CX_13F9C7
USER;NT;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;4;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;pO2-hc;520;600;48MTP;4;30;30.00;40.00;0.00;;;SET TEMPERATURE [°C];30.00
 2;GFP;488;520;48MTP;2;75;1.00;100.00;421.00;;;SET HUMIDITY [rH];85.00
 3;pH-hc;470;525;48MTP;3;28;30.00;40.00;0.00;;;SET O2 [%];20.95
 4;Biomass;620;620;48MTP;1;10;1.00;100.00;179.00;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1200.00
;;;;;;;;;;;;SET CYCLE TIME [min];12
;;;;;;;;;;;;SET EXP TIME [h];-1

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS;TEMP CHAMBER;TEMP TABLE;TEMP BOTTLE
R;;;;1;0.00432;0.00;0.0;26.50;42.49;20.65;0.00;referencing skipped, REFERENCE VALUE is 0.0 ;26.50;29.90;27.50
C1;A01;X1;;1;0.00523;3.20;41.2;26.60;45.57;20.64;0.00;;26.60;29.50;27.50
C1;A02;X2;;1;0.00582;2.44;39.9;26.70;48.16;20.64;0.00;;26.70;29.20;27.50
C1;A03;X3;;1;0.00643;2.86;40.7;26.80;50.67;20.64;0.00;;26.80;29.10;27.50
C1;A04;X4;;1;0.00708;2.94;41.0;26.90;52.92;20.64;0.00;;26.90;28.70;27.50
C1;A05;X5;;1;0.00769;3.11;41.6;27.00;54.88;20.64;0.00;;27.00;28.50;27.60
C1;A06;X6;;1;0.00830;3.01;39.9;27.10;56.83;20.67;0.00;;27.10;28.30;27.60
C1;A07;X7;;1;0.00891;2.93;40.2;27.20;58.60;20.66;0.00;;27.20;28.10;27.60
C1;A08;X8;;1;0.00952;2.76;40.1;27.40;60.36;20.66;0.00;;27.40;28.00;27.60
C1;B08;X16;;1;0.01016;2.17;39.9;27.50;61.99;20.66;0.00;;27.50;27.90;27.60
C1;B07;X15;;1;0.01077;2.79;40.5;27.60;63.48;20.66;0.00;;27.60;27.70;27.70
C1;B06;X14;;1;0.01141;2.69;40.1;27.70;66.13;20.70;0.00;;27.70;27.70;27.70
C1;B05;X13;;1;0.01203;2.15;40.6;27.90;67.52;20.70;0.00;;27.90;27.70;27.80
C1;B04;X12;;1;0.01264;2.86;40.3;28.00;68.77;20.73;0.00;;28.00;27.70;27.80
C1;B03;X11;;1;0.01325;2.69;39.5;28.10;69.87;20.74;0.00;;28.10;27.80;27.80
C1;B02;X10;;1;0.01386;2.84;39.7;28.20;70.91;20.77;0.00;;28.20;27.80;27.80
C1;B01;X9;;1;0.01446;3.02;39.8;28.40;71.90;20.78;0.00;;28.40;27.90;27.80
C1;C01;X17;;1;0.01510;2.85;39.2;28.40;72.87;20.77;0.00;;28.40;27.90;27.80
C1;C02;X18;;1;0.01573;3.07;40.3;28.50;74.63;20.78;0.00;;28.50;27.90;27.80
C1;C03;X19;;1;0.01635;2.63;40.2;28.70;75.42;20.81;0.00;;28.70;27.90;27.90
C1;C04;X20;;1;0.01697;2.68;39.8;28.80;76.22;20.84;0.00;;28.80;27.90;27.90
C1;C05;X21;;1;0.01758;2.78;39.2;28.90;77.53;20.84;0.00;;28.90;27.90;27.90
C1;C06;X22;;1;0.01819;2.72;39.6;29.00;78.28;20.87;0.00;;29.00;27.90;27.90
C1;C07;X23;;1;0.01880;2.49;39.5;29.00;78.87;20.87;0.00;;29.00;28.00;27.90
C1;C08;X24;;1;0.01945;2.49;39.5;29.20;79.40;20.91;0.00;;29.20;28.00;27.90
C1;D08;X32;;1;0.02008;2.33;39.6;29.30;79.91;20.91;0.00;;29.30;28.00;28.00
C1;D07;X31;;1;0.02070;2.26;39.5;29.40;80.38;20.91;0.00;;29.40;28.10;28.00
C1;D06;X30;;1;0.02131;2.48;39.0;29.40;80.90;20.94;0.00;;29.40;28.30;28.00
C1;D05;X29;;1;0.02191;2.58;40.5;29.50;81.22;20.94;0.00;;29.50;28.40;28.10
C1;D04;X28;;1;0.02252;2.47;39.2;29.70;81.61;20.94;0.00;;29.70;28.60;28.10
C1;D03;X27;;1;0.02317;2.75;40.7;29.70;82.13;20.94;0.00;;29.70;28.70;28.10
C1;D02;X26;;1;0.02379;3.07;40.7;29.90;82.58;20.94;0.00;;29.90;28.80;28.10
C1;D01;X25;;1;0.02440;2.74;39.7;29.90;82.86;20.97;0.00;;29.90;28.90;28.10
C1;E01;X33;;1;0.02501;2.74;41.0;30.00;83.11;20.97;0.00;;30.00;28.90;28.20
C1;E02;X34;;1;0.02563;2.98;39.5;30.10;83.31;20.97;0.00;;30.10;29.00;28.20
C1;E03;X35;;1;0.02628;2.68;39.7;30.20;83.57;20.97;0.00;;30.20;29.00;28.30
C1;E04;X36;;1;0.02689;2.93;40.1;30.30;83.83;20.95;0.00;;30.30;29.10;28.30
C1;E05;X37;;1;0.02751;2.29;38.8;30.40;83.96;20.94;0.00;;30.40;29.10;28.30
C1;E06;X38;;1;0.02812;2.27;39.3;30.50;84.16;20.94;0.00;;30.50;29.10;28.30
C1;E07;X39;;1;0.02874;2.53;38.8;30.50;84.37;20.94;0.00;;30.50;29.20;28.30
C1;E08;X40;;1;0.02935;2.45;39.9;30.60;84.66;20.95;0.00;;30.60;29.20;28.30
C1;F08;X48;;1;0.03001;2.36;40.4;30.70;84.81;20.94;0.00;;30.70;29.30;28.30
C1;F07;X47;;1;0.03063;1.72;39.2;30.70;84.87;20.94;0.00;;30.70;29.30;28.30
C1;F06;X46;;1;0.03125;2.24;40.0;30.80;84.94;20.94;0.00;;30.80;29.40;28.40
C1;F05;X45;;1;0.03187;2.73;41.7;30.90;85.33;20.94;0.00;;30.90;29.40;28.40
C1;F04;X44;;1;0.03249;2.73;39.9;31.00;85.39;20.91;0.00;;31.00;29.50;28.40
C1;F03;X43;;1;0.03310;2.88;40.4;31.00;85.52;20.91;0.00;;31.00;29.50;28.30
C1;F02;X42;;1;0.03376;2.82;39.3;31.00;85.46;20.91;0.00;;31.00;29.50;28.30
C1;F01;X41;;1;0.03436;2.62;39.7;31.10;85.44;20.91;0.00;;31.10;29.50;28.30
K;;;;;0.04241;;;;;;;Open Cover;
R;;;;2;0.04257;367.66;0.0;31.00;81.42;20.81;0.00;test measure for referencing with gain 7 ;31.00;29.10;28.40
K;;;;;0.06009;;;;;;;Close Cover;
C1;A01;X1;;2;0.06044;54.76;0.0;29.70;35.78;20.56;0.00;;29.70;29.70;27.80
C1;A02;X2;;2;0.06083;54.23;0.0;29.70;36.37;20.56;0.00; ;29.70;29.70;27.80
C1;A03;X3;;2;0.06125;54.13;0.0;29.70;36.68;20.56;0.00;;29.70;29.60;27.80
C1;A04;X4;;2;0.06166;53.76;0.0;29.70;37.54;20.56;0.00;;29.70;29.60;27.90
C1;A05;X5;;2;0.06212;53.80;0.0;29.70;39.17;20.56;0.00;;29.70;29.50;27.90
C1;A06;X6;;2;0.06252;53.75;0.0;29.70;40.99;20.56;0.00;;29.70;29.40;27.90
C1;A07;X7;;2;0.06297;53.53;0.0;29.70;42.21;20.56;0.00;;29.70;29.40;27.90
C1;A08;X8;;2;0.06338;53.29;0.0;29.70;42.88;20.56;0.00;;29.70;29.40;27.90
C1;B08;X16;;2;0.06383;53.34;0.0;29.70;44.77;20.56;0.00;;29.70;29.30;27.90
C1;B07;X15;;2;0.06423;53.37;0.0;29.70;46.73;20.56;0.00;;29.70;29.30;28.00
C1;B06;X14;;2;0.06467;53.57;0.0;29.80;48.17;20.56;0.00;;29.80;29.20;28.00
